company_name,uen_no,class,class_code,additional_info,expiry_date,building_no,street_name,unit_no,building_name,postal_code,tel_no
1 BUILDER & RECYCLE PTE. LTD.,201401100H,General Builder Class 2,GB2,na,24/3/17,192,WATERLOO STREET,#06-03,SKYLINE BUILDING,187966,64089743
1 CHUAN PTE. LTD.,200610983D,General Builder Class 2,GB2,na,27/6/16,1,YISHUN STREET 23,#06-06,YS-ONE,768441,67586512
1-EIGHT-9 HOMEMAKER PTE. LTD.,200817377H,General Builder Class 2,GB2,na,31/7/18,293,RIVER VALLEY ROAD,na,na,238334,67351189
189 BUILDER PTE LTD,200404882W,General Builder Class 2,GB2,na,4/1/19,293,RIVER VALLEY ROAD,na,na,238334,67351189
19-ANC ENTERPRISE PTE. LTD.,200700111C,General Builder Class 1,GB1,na,17/6/18,4002,DEPOT LANE,#01-43,na,109756,62688834
19-NS2 ENTERPRISE PTE LTD,201318102Z,General Builder Class 2,GB2,na,9/4/18,7030,ANG MO KIO AVENUE 5,#02-12,NORTHSTAR @ AMK,569880,62730745
2 HW PTE. LTD.,201316359R,General Builder Class 2,GB2,na,26/8/16,76,GEYLANG BAHRU,#01-2844,GEYLANG BAHRU INDUSTRIAL ESTATE,339684,62920874
21ST DECOR ENGINEERING PTE LTD,199905163C,General Builder Class 1,GB1,na,31/12/18,1,SOON LEE STREET,#06-31,PIONEER CENTRE BUILDING,627605,67342322
265 HENG HUAT CONSTRUCTION PTE LTD,200816107N,General Builder Class 2,GB2,na,18/6/18,20,WOODLANDS WALK,na,na,738391,68520265
2K BUILDER PTE LTD,198400907Z,General Builder Class 1,GB1,na,26/6/18,50,BUKIT BATOK STREET 23,#05-26/27,MIDVIEW BUILDING,659578,63584333
2K INTERNATIONAL PTE. LTD.,200415190C,General Builder Class 2,GB2,na,3/7/18,50,BUKIT BATOK STREET 23,#05-26/27,MIDVIEW BUILDING,659578,63584333
2L INTERIOR DESIGN & CONSTRUCTION PTE. LTD.,201115201G,General Builder Class 2,GB2,na,16/10/18,25,KAKI BUKIT ROAD 4,#05-31,SYNERGY@ KB,417800,64497492
2PD CONSTRUCTION PTE LTD,201021847Z,General Builder Class 2,GB2,na,23/5/18,21,WOODLANDS CLOSE,#04-05,PRIMZ BIZHUB,737854,63142181
